#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
1817;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;0c ;".";1;;COM5;;
1818;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1819;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1820;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1821;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1822;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1823;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1824;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1825;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1826;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1827;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1828;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1829;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
